text,intent,target
"Where is the milk?",navigate_to_target,milk
"Help me find sugar",navigate_to_target,sugar
"I am looking for oat milk",navigate_to_target,plant_based_milk
"Describe what is in front of me",describe_scene,
"What products are here?",describe_scene,
"What am I pointing at?",describe_pointed_product,
"Describe this product",describe_pointed_product,
"How much is this?",get_price,
"What is the price?",get_price,
"Read the label",read_text,
"Is this the milk section?",confirm_target_present,milk
"Do you see coffee here?",confirm_target_present,coffee
"Where is the bread?",navigate_to_target,bread
"Help me find eggs",navigate_to_target,eggs
"I am looking for orange juice",navigate_to_target,orange_juice
"I like this shop",unknown,
"This is difficult",unknown,
"Can you help me?",unknown,
"What should I buy?",unknown,
"Where can I find cereal?",navigate_to_target,cereal
"Help me find pasta",navigate_to_target,pasta
"I need rice",navigate_to_target,rice
"Take me to the coffee",navigate_to_target,coffee
"Show me the tea",navigate_to_target,tea
"Where is the flour?",navigate_to_target,flour
"I am looking for crackers",navigate_to_target,crackers
"Can you find biscuits?",navigate_to_target,biscuits
"Where are the cookies?",navigate_to_target,cookies
"Help me get chocolate",navigate_to_target,chocolate
"I want to find juice",navigate_to_target,juice
"Where can I get drinks?",navigate_to_target,drinks
"Please find soup",navigate_to_target,soup
"Take me to broth",navigate_to_target,broth
"Show me tomato sauce",navigate_to_target,tomato_sauce
"I am looking for cereal bars",navigate_to_target,cereal_bars
"Where are the snack bars?",navigate_to_target,snack_bars
"Help me find oats",navigate_to_target,oats
"Can you show me noodles?",navigate_to_target,noodles
"Where is couscous?",navigate_to_target,couscous
"I need salt",navigate_to_target,salt
"Help me find tea bags",navigate_to_target,tea
"Where can I find cocoa powder?",navigate_to_target,cocoa
"I am looking for breakfast cereal",navigate_to_target,cereal
"Take me to the sugar",navigate_to_target,sugar
"Show me the milk",navigate_to_target,milk
"Can you find coffee for me?",navigate_to_target,coffee
"Where are the boxed drinks?",navigate_to_target,drinks
"Help me find cake mix",navigate_to_target,cake_mix
"I need crackers",navigate_to_target,crackers
"What is in front of me?",describe_scene,
"Tell me what you see",describe_scene,
"Describe the products ahead",describe_scene,
"Can you describe this view?",describe_scene,
"What is on the shelf?",describe_scene,
"Tell me about this shelf",describe_scene,
"What can you see here?",describe_scene,
"Describe this area",describe_scene,
"Give me a quick scene description",describe_scene,
"What items are visible?",describe_scene,
"Look around and describe it",describe_scene,
"What is around me?",describe_scene,
"Describe the shelf contents",describe_scene,
"Tell me what products are nearby",describe_scene,
